@relation TestInstances

@attribute ID numeric
@attribute CUMULATIVE_CONTENT_CONSISTENCY numeric
@attribute AVG_COLS numeric
@attribute AVG_ROWS numeric
@attribute STD_DEV_COLS numeric
@attribute LOCAL_RATIO_EMPTY_ROW_5 numeric
@attribute LOCAL_DIGIT_AMOUNT_VARIANCE_ROW_4 numeric
@attribute LOCAL_AVG_LENGTH_COL_4 numeric
@attribute LOCAL_AVG_LENGTH_ROW_0 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_5 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_5 numeric
@attribute LOCAL_RATIO_IMAGE_COL_4 numeric
@attribute LOCAL_RATIO_SELECT_COL_2 numeric
@attribute LOCAL_RATIO_COLON_COL_1 numeric
@attribute LOCAL_RATIO_COLON_ROW_1 numeric
@attribute LOCAL_RATIO_COMMA_ROW_1 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_4 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_5 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_HEADER_COL_0 numeric
@attribute LOCAL_RATIO_HEADER_COL_2 numeric
@attribute LOCAL_RATIO_CONTAINS_WHITESPACE_ROW_0 numeric
@attribute LOCAL_RATIO_SPECIAL_CHAR_ROW_4 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_2 numeric
@attribute CLASS {LAYOUT,RELATION,ENTITY,MATRIX,OTHER}

@data
4,2.666667,6,3,0,0,15.555556,1.333333,5.333333,76.222222,0,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0,0.5,0,0,0,RELATION
5,1.5,6,4,0,0,7.472222,1,5.333333,10.25,0,0,0,0,0,0,0,0.25,0.333333,0.25,0.25,0,0.5,0,0,0,RELATION
16,-0.333333,3,6,0,0,2.888889,5.333333,14,125,0,0,0,0,0,0,0.833333,0.833333,0.666667,0.166667,0.166667,0.333333,0.333333,0.833333,0.666667,0.666667,RELATION
17,-0.75,3,8,0,0,8,8,7,0.109375,0,0,0,0,0,0,0.875,0,0.333333,0.125,0.125,0.333333,1,0.875,0.333333,0.333333,RELATION
18,7.2,5,8,0,0,0.56,1.5,5.2,1.75,0,0,0,0,0,0,0.875,0.875,0.8,0,0.125,0,0.2,1,0.8,0.6,RELATION
21,4.6,5,25,0,0,1.2,4.36,2.2,0.4576,0,0,0,0,0,0,0.96,0.96,0.8,0.04,0.04,0,0.4,0.96,0.8,0.8,RELATION
23,4,2,6,0,0,0,0,4,2.888889,0.833333,0.833333,0,0,0,0,0,0,0,0.166667,0.166667,0,0,0,0,0,RELATION
29,1.428571,7,6,0,0,14.204082,9.666667,5,5,0.166667,0,0,0,0,0,0,0,0.571429,0.166667,0.166667,0,0.428571,0,0,0,RELATION
31,3,6,5,0,0,4.583333,10.8,5.333333,251.44,0,0,0,0,0,0,0,0.2,0.333333,0.2,0.2,0,0.166667,0,0.166667,0.166667,RELATION
34,3.75,4,16,0,0,1.25,6.6875,3.75,0.527344,0,0.0625,0,0,0,0.25,0.9375,0.9375,1,0.0625,0.0625,0.5,0.25,0,0.25,0.25,RELATION
37,-3.538462,13,6,0,0,2.177515,2.166667,3.076923,0,0,0,0,0,0,0,0.833333,0.833333,0.923077,0.166667,0.166667,0,0.769231,0,0.846154,0.846154,RELATION
42,6,4,6,0,0,2.6875,20.666667,11.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0.75,0,0,0,RELATION
46,52.75,8,212,0,0,6.4375,3.632075,8.375,1.07803,0.004717,0,0,0,0,0.125,0.995283,0,0.5,0.004717,0.004717,0.25,0.25,0.995283,0.375,0.375,RELATION
51,0.5,4,3,0,0,18.6875,7,8,0.888889,0,0,0,0,0,0,0,0.666667,0.75,0,0,0.5,0.5,0.666667,0.25,0.25,RELATION
53,2,6,3,0,0,8.555556,5,11.5,2,0,0,0,0,0,0.166667,0.666667,0,0.5,0,0,0.5,0.666667,0,0,0,RELATION
59,16.333333,3,27,0,0,0.888889,13.037037,5.666667,16780.068587,0.037037,0,0,0,0,0.333333,0.555556,0.62963,1,0,0,0,0.333333,0,0.333333,0.333333,RELATION
65,-2,6,5,0,0,4.333333,3.4,6,4,0,0,0,0,0,0,0.8,0,0.666667,0.2,0.2,0,0.333333,0.8,0.5,0.5,RELATION
66,-1.454545,4,11,0,0,4.1875,4.454545,13.5,0.264463,0,0,0,0,0,0,0.909091,0.909091,1,0.090909,0.090909,0.5,0.25,0.909091,0.5,0.5,RELATION
68,8,4,8,0,0,21.1875,3,9.75,0,0,0,0,0,0,0,1,0,0.75,0,0,0.25,0.75,0,0,0,RELATION
71,5,2,5,0,0,1,1.8,19.5,120,1,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0.5,0.5,RELATION
74,1,10,2,0,0,0.16,1,3.4,72.25,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.1,0.1,0.5,0.4,0.4,RELATION
75,4,4,6,0,0,0.75,18.833333,5.75,14.888889,0.5,0.833333,0,0,0,0.25,0.166667,0,0.25,0,0,0,0.5,0,0,0,RELATION
76,0.666667,6,5,0,0,3.222222,4.2,7.166667,5.76,0,0,0,0,0,0,0.8,0,0.666667,0,0,0.166667,0.166667,0,0.333333,0.333333,RELATION
77,3,2.777778,8.333333,0.628539,0,2,10,17,23.6875,1,0,0,0,0,0,1,0.25,0.666667,0.111111,0,1,0.333333,0,0.333333,0.333333,RELATION
79,0.266667,1.733333,13,0.442217,0,0,17.466667,55,351.471074,1,0,0,0,0,0,0,0,0,0.2,0,1,0.5,0,0,0,RELATION
83,100,3,100,0,0,2,35.23,23,0,0,0,0,0,0,0,0.18,1,0.333333,0,0,0.666667,0.333333,0,0,0,RELATION
85,1,2,12,0,0,1,1.25,13,73.555556,0.083333,0,0,0,0,0,1,0.166667,1,0,0,0.5,0,0.166667,1,0.5,RELATION
86,3,5,3,0,0,47.2,10,15,98,0,0,0,0,0,0.2,1,1,0.6,0,0,0.6,0.6,0,0,0,RELATION
91,2,2.666667,5.333333,0.745356,0,0.222222,0,9,923.44,1,0,0,0,0,0.333333,0,1,0.666667,0.166667,0,0,0.333333,0,0.333333,0.333333,RELATION
92,-0.978261,2.978261,91.333333,0.207378,0,57.555556,0,9,1523.521314,0.186813,0,0,0,0,0.333333,0,1,0.666667,0.01087,0,0,0.333333,0,0.333333,0.333333,RELATION
93,7,2.904762,20.333333,0.425918,0,38.222222,0,9,857.7875,0,0,0,0,0,0.333333,0,1,0.666667,0.047619,0,0,0.333333,0,0.333333,0.333333,RELATION
94,-0.975309,2.975309,80.333333,0.220846,0,4.222222,0.5,9,1220.765,0.5,0,0,0,0,0.333333,0,1,0.666667,0.012346,0,0,0.333333,0,0.333333,0.333333,RELATION
95,-0.866667,2.866667,14.333333,0.498888,0,14.888889,0,9,2941.311224,0.928571,0,0,0,0,0.333333,0,0.857143,0.666667,0.066667,0,0,0.333333,0,0.333333,0.333333,RELATION
96,8.666667,2.933333,29.333333,0.359011,0,8.666667,0.068966,9,4793.386445,0,0,0,0,0,0.333333,0,1,0.666667,0.033333,0,0,0.333333,0,0.333333,0.333333,RELATION
97,-1.25,7.333333,11,2.211083,1,3.9375,0.818182,5.375,6.545455,0,0,0,0,0,0.125,0.181818,0.181818,0.125,0.090909,0.090909,0.25,0.25,0,0,0,RELATION
98,-2.60274,7.945205,145,0.659813,1,3.859375,0.048276,5.375,0.554768,0,0,0,0,0,0.125,0,0,0.125,0.006897,0.006897,0.25,0.25,0,0,0,RELATION
99,-0.5,7.333333,11,2.211083,1,3.9375,0.636364,5.375,6.694215,0,0,0,0,0,0,0,0,0.125,0.090909,0.090909,0.25,0.125,0,0,0,RELATION
100,-2.828571,7.885714,69,0.949328,1,0,0.463768,5.375,1.293426,0,0,0,0,0,0,0.362319,0.362319,0.125,0.014493,0.014493,0.25,0.125,0,0,0.375,RELATION
101,0.5,6,3,3.464102,1,3.6875,3,5.375,14.222222,0,0,0,0,0,0.125,0.666667,0.666667,0.5,0.333333,0.333333,0.25,0.125,0,0.375,0.375,RELATION
102,0,6.857143,6,2.799417,1,3.9375,1.166667,5.375,11.25,0,0,0,0,0,0.125,0,0,0.25,0.166667,0.166667,0.25,0.125,0,0,0,RELATION
103,-0.25,6.666667,5,2.981424,1,3.9375,1.4,5.375,12.96,0,0,0,0,0,0,0,0,0.125,0.2,0.2,0.25,0.375,0,0,0,RELATION
106,4,4,5,0,0,1.6875,7.8,7,1.84,0,0,0,0,0,0.25,1,1,0.5,0,0,0.5,0.25,0,0.25,0.25,RELATION
109,5,3,5,0,0,11.555556,16,13,0.96,0,0,0,0,0,0.333333,1,1,0.666667,0,0,0.666667,0.666667,0,0,0,RELATION
111,13.333333,3,14,0,0,4.666667,10.285714,7.333333,11.489796,0.928571,0,0,0,0,0,0.357143,0.928571,0.333333,0.071429,0.071429,0,0.333333,0,0,0,RELATION
112,-9.875,23.95,19.958333,0.217945,0,2.567708,4.8,4.478261,56.8475,0,0,0,0,0,0,0.95,0.85,0.833333,0,0,0.130435,0.208333,0,0.666667,0.666667,RELATION
